gl_account,account_name,account_type,financial_statement_category,normal_balance,co_relevant
100000,Bank Account,Asset,Balance Sheet,Debit,No
110000,Accounts Receivable,Asset,Balance Sheet,Debit,No
120000,Input VAT 19%,Asset,Balance Sheet,Debit,No
130000,Prepaid Expenses,Asset,Balance Sheet,Debit,No
150000,Office & IT Equipment,Asset,Balance Sheet,Debit,No
159000,Accumulated Depreciation,Contra Asset,Balance Sheet,Credit,No
200000,Accounts Payable,Liability,Balance Sheet,Credit,No
210000,Output VAT 19%,Liability,Balance Sheet,Credit,No
220000,Payroll Liabilities,Liability,Balance Sheet,Credit,No
230000,Accrued Expenses,Liability,Balance Sheet,Credit,No
300000,Share Capital,Equity,Balance Sheet,Credit,No
310000,Retained Earnings,Equity,Balance Sheet,Credit,No
400000,Consulting Revenue,Revenue,Income Statement,Credit,Yes
410000,Software Revenue,Revenue,Income Statement,Credit,Yes
420000,Support Revenue,Revenue,Income Statement,Credit,Yes
500000,Salary Expense,Expense,Income Statement,Debit,Yes
510000,Rent Expense,Expense,Income Statement,Debit,Yes
520000,Software Subscription Expense,Expense,Income Statement,Debit,Yes
530000,Marketing Expense,Expense,Income Statement,Debit,Yes
540000,Travel Expense,Expense,Income Statement,Debit,Yes
550000,Utilities Expense,Expense,Income Statement,Debit,Yes
560000,Professional Services Expense,Expense,Income Statement,Debit,Yes
570000,Depreciation Expense,Expense,Income Statement,Debit,Yes
580000,Bank Charges,Expense,Income Statement,Debit,Yes
590000,Miscellaneous Operating Expense,Expense,Income Statement,Debit,Yes
