asset_id,asset_name,period,depreciation_date,monthly_depreciation,accumulated_depreciation,net_book_value,cost_center,profit_center
A1000,IT Equipment,1,2026-01-31,500.0,500.0,11500.0,CC3000,PC200
A1000,IT Equipment,2,2026-02-28,500.0,1000.0,11000.0,CC3000,PC200
A1000,IT Equipment,3,2026-03-31,500.0,1500.0,10500.0,CC3000,PC200
A1000,IT Equipment,4,2026-04-30,500.0,2000.0,10000.0,CC3000,PC200
A1000,IT Equipment,5,2026-05-31,500.0,2500.0,9500.0,CC3000,PC200
A1000,IT Equipment,6,2026-06-30,500.0,3000.0,9000.0,CC3000,PC200
A1000,IT Equipment,7,2026-07-31,500.0,3500.0,8500.0,CC3000,PC200
A1000,IT Equipment,8,2026-08-31,500.0,4000.0,8000.0,CC3000,PC200
A1000,IT Equipment,9,2026-09-30,500.0,4500.0,7500.0,CC3000,PC200
A1000,IT Equipment,10,2026-10-31,500.0,5000.0,7000.0,CC3000,PC200
A1000,IT Equipment,11,2026-11-30,500.0,5500.0,6500.0,CC3000,PC200
A1000,IT Equipment,12,2026-12-31,500.0,6000.0,6000.0,CC3000,PC200
A1000,IT Equipment,13,2027-01-31,500.0,6500.0,5500.0,CC3000,PC200
A1000,IT Equipment,14,2027-02-28,500.0,7000.0,5000.0,CC3000,PC200
A1000,IT Equipment,15,2027-03-31,500.0,7500.0,4500.0,CC3000,PC200
A1000,IT Equipment,16,2027-04-30,500.0,8000.0,4000.0,CC3000,PC200
A1000,IT Equipment,17,2027-05-31,500.0,8500.0,3500.0,CC3000,PC200
A1000,IT Equipment,18,2027-06-30,500.0,9000.0,3000.0,CC3000,PC200
A1000,IT Equipment,19,2027-07-31,500.0,9500.0,2500.0,CC3000,PC200
A1000,IT Equipment,20,2027-08-31,500.0,10000.0,2000.0,CC3000,PC200
A1000,IT Equipment,21,2027-09-30,500.0,10500.0,1500.0,CC3000,PC200
A1000,IT Equipment,22,2027-10-31,500.0,11000.0,1000.0,CC3000,PC200
A1000,IT Equipment,23,2027-11-30,500.0,11500.0,500.0,CC3000,PC200
A1000,IT Equipment,24,2027-12-31,500.0,12000.0,0.0,CC3000,PC200
